blz,bic
21890022,GENODEF1DVR
22140028,COBADEFFXXX
22141028,COBADEFFXXX
22141428,COBADEFFXXX
22141628,COBADEFFXXX
22150000,NOLADE21ELH
22151730,NOLADE21WED
22163114,GENODEF1HTE
22180000,DRESDEFF221
22181400,DRESDEFF206
22190030,GENODEF1ELM
22191405,GENODEF1PIN
22240073,COBADEFFXXX
22250020,NOLADE21WHO
22280000,DRESDEFF201
22290031,GENODEF1VIT
23040022,COBADEFFXXX
23050101,NOLADE21SPL
23051030,NOLADE21SHO
23052750,NOLADE21RZB
23061220,GENODEF1LZN
23062124,GENODEF1BAR
23063129,GENODEF1RLB
23064107,GENODEF1BCH
23070203,DEUTDEHHP02
23070224,DEUTDEDBP02
23070700,DEUTDEDB237
23070710,DEUTDEHH222
23080040,DRESDEFF230
23089201,DRESDEFFI08
23090142,GENODEF1HLU
24040000,COBADEFFXXX
24050110,NOLADE21LBG
24060300,GENODEF1NBU
24061392,GENODEF1DAB
24070024,DEUTDEDB240
24070024,DEUTDEDB242
24070075,DEUTDE2H240
24070075,DEUTDE2H241
24070324,DEUTDEDBP22
24070368,DEUTDE2HP22
24080000,DRESDEFF240
24090041,GENODEF1LUE
24121000,GENODED1RKI
24140041,COBADEFFXXX
24150001,BRLADE21CUX
24151005,NOLADE21STS
24151116,NOLADE21STK
24151235,BRLADE21ROB
24161594,GENODEF1SIT
24162898,GENODEF1LAS
24180000,DRESDEFF242
24180001,DRESDEFF241
24191015,GENODEF1SDE
25000000,MARKDEF1250
25010030,PBNKDEFFXXX
25010424,AARBDE5W250
25010600,DEHYDE2HXXX
25010900,CKVHDE21XXX
25020200,BHFBDEFF250
25020600,SCFBDE33XXX
25040060,COBADEFFXXX
25040061,COBADEFFXXX
25040066,COBADEFFXXX
25050000,NOLADE2HXXX
25050055,NOLADE21CSH
25050066,NOLADE21CMV
25050180,SPKHDE2HXXX
25055500,NOLADE21LBS
25060000,GENODEFF250
25060000,GENODEFF280
25060180,HALLDE2HXXX
25069168,GENODEF1DES
25069262,GENODEF1NST
25069270,GENODEF1MUA
25069503,GENODEF1BNT
25070024,DEUTDEDB243
25070024,DEUTDEDB250
25070024,DEUTDEDB251
25070024,DEUTDEDB252
25070024,DEUTDEDB256
25070024,DEUTDEDB258
25070024,DEUTDEDB931
25070024,DEUTDEDB932
25070024,DEUTDEDB933
25070024,DEUTDEDBHAN
25070066,DEUTDE2H265
25070070,DEUTDE2H250
25070070,DEUTDE2H252
25070070,DEUTDE2H282
25070070,DEUTDE2H283
25070070,DEUTDE2HXXX
25070077,DEUTDE2H256
25070084,DEUTDE2H258
25070084,DEUTDE2H284
25070086,DEUTDE2H251
25070324,DEUTDEDBP24
25070370,DEUTDE2HP24
25080020,DRESDEFF250
25080085,DRESDEFFI65
25089220,DRESDEFFI09
25090300,GENODEF1BFS
25090500,GENODEF1S09
25090900,GENODEF1P09
25120510,BFSWDE33HAN
25151270,NOLADE21BAH
25151371,NOLADE21BUF
25152375,NOLADE21WAL
25152490,NOLADE21WST
25190001,VOHADE2HXXX
25190088,VOHADE2HXXX
25193331,GENODEF1PAT
25250001,NOLADE21PEI
25260010,GENODEF1PEV
25410200,BHWBDE2HXXX
25440047,COBADEFFXXX
25450001,NOLADE21HMS
25450110,NOLADE21SWB
25451345,NOLADE21PMT
25462160,GENODEF1HMP
25462680,GENODEF1COP
25470024,DEUTDEDB254
25470024,DEUTDEDB255
25470073,DEUTDE2H254
25471024,DEUTDEDB264
25471073,DEUTDE2H264
25480021,DRESDEFF254
25491273,GENODED1AEZ
25541426,COBADEFFXXX
25551480,NOLADE21SHG
25591413,GENODEF1BCK
25621327,OLBODEH2XXX
25641302,COBADEFFXXX
25650106,NOLADE21NIB
25651325,BRLADE21DHZ
25662540,GENODEF1STY
25663584,GENODEF1HOY
25690009,GENODEF1NIN
25691633,GENODEF1SUL
25691699,GENODEF1SUL
25740061,COBADEFFXXX
25750001,NOLADE21CEL
25761894,GENODEF1WIK
25770024,DEUTDEDB257
25770069,DEUTDE2H257
25780022,DRESDEFF257
25791516,GENODEF1HKB
25791635,GENODEF1HMN
